,Team,Conference,% Time in Playoffs,% Make Playoffs Due to AQ,% of Appearances Due to AQ
0,Ohio State,Big Ten,92.15,0.0,0.0
1,Georgia,SEC,90.6,0.0,0.0
2,Michigan,Big Ten,85.2,0.0,0.0
3,Washington,Big Ten,81.45,0.0,0.0
4,Alabama,SEC,75.0,0.0,0.0
5,Florida State,ACC,74.5,0.0,0.0
6,Oregon,Big Ten,68.15,0.0,0.0
7,Texas,SEC,64.25,0.0,0.0
8,Missouri,SEC,56.75,0.0,0.0
9,Louisville,ACC,49.45,0.0,0.0
10,Penn State,Big Ten,46.5,0.0,0.0
11,Iowa,Big Ten,41.4,0.0,0.0
12,James Madison,Sun Belt,39.3,39.3,100.0
13,Arizona,Big 12,24.6,0.0,0.0
14,Clemson,ACC,24.0,0.0,0.0
15,Auburn,SEC,22.45,0.0,0.0
16,Tulane,AAC,18.45,18.45,100.0
17,Troy,Sun Belt,16.9,16.9,100.0
18,Kansas State,Big 12,15.9,0.0,0.0
19,Oklahoma,SEC,15.7,0.0,0.0
20,Iowa State,Big 12,15.65,0.0,0.0
21,North Carolina,ACC,13.15,0.0,0.0
22,Texas Tech,Big 12,12.85,0.0,0.0
23,North Carolina State,ACC,11.8,0.0,0.0
24,Kentucky,SEC,11.6,0.0,0.0
25,Illinois,Big Ten,10.65,0.0,0.0
26,Mississippi,SEC,9.1,0.0,0.0
27,Kansas,Big 12,8.95,0.0,0.0
28,Utah,Big 12,8.45,0.0,0.0
29,Florida,SEC,7.75,0.0,0.0
30,Maryland,Big Ten,7.4,0.0,0.0
31,Coastal Carolina,Sun Belt,7.0,7.0,100.0
32,Central Florida,Big 12,6.9,0.0,0.0
33,Virginia Tech,ACC,6.25,0.0,0.0
34,Oregon State,Pac-12,5.95,4.95,83.193
35,Miami (FL),ACC,5.85,0.0,0.0
36,Northwestern,Big Ten,5.7,0.0,0.0
37,West Virginia,Big 12,5.3,0.0,0.0
38,Rutgers,Big Ten,5.25,0.0,0.0
39,Arizona State,Big 12,4.75,0.0,0.0
40,Memphis,AAC,3.25,3.25,100.0
41,Appalachian State,Sun Belt,2.75,2.75,100.0
42,Georgia Tech,ACC,2.5,0.0,0.0
43,Toledo,MAC,2.5,2.5,100.0
44,Liberty,CUSA,1.8,1.8,100.0
45,Oklahoma State,Big 12,1.45,0.0,0.0
46,Tennessee,SEC,1.4,0.0,0.0
47,Brigham Young,Big 12,1.3,0.0,0.0
48,Houston,Big 12,1.2,0.0,0.0
49,Texas Christian,Big 12,1.15,0.0,0.0
50,Michigan State,Big Ten,1.0,0.0,0.0
51,Cincinnati,Big 12,0.9,0.0,0.0
52,Texas-San Antonio,AAC,0.65,0.65,100.0
53,Colorado,Big 12,0.55,0.0,0.0
54,Boston College,ACC,0.5,0.0,0.0
55,Texas State,Sun Belt,0.45,0.45,100.0
56,South Carolina,SEC,0.45,0.0,0.0
57,Louisiana State,SEC,0.45,0.0,0.0
58,South Alabama,Sun Belt,0.4,0.4,100.0
59,Southern Methodist,ACC,0.35,0.0,0.0
60,Texas A&M,SEC,0.25,0.0,0.0
61,Baylor,Big 12,0.25,0.0,0.0
62,Duke,ACC,0.2,0.0,0.0
63,Wake Forest,ACC,0.15,0.0,0.0
64,Virginia,ACC,0.15,0.0,0.0
65,Miami (OH),MAC,0.1,0.1,100.0
66,Southern Mississippi,Sun Belt,0.1,0.1,100.0
67,Navy,AAC,0.1,0.1,100.0
68,San Jose State,MWC,0.1,0.1,100.0
69,California,ACC,0.1,0.0,0.0
70,Arkansas State,Sun Belt,0.1,0.1,100.0
71,Syracuse,ACC,0.1,0.0,0.0
72,New Mexico State,CUSA,0.05,0.05,100.0
73,Pittsburgh,ACC,0.05,0.0,0.0
74,Stanford,ACC,0.05,0.0,0.0
75,Purdue,Big Ten,0.05,0.0,0.0
76,Nevada-Las Vegas,MWC,0.05,0.05,100.0
77,Mississippi State,SEC,0.05,0.0,0.0
