,Team,Conference,% Time in Playoffs,% Make Playoffs Due to AQ,% of Appearances Due to AQ
115,Texas-El Paso,CUSA,0.54,0.36,66.667
116,Ball State,MAC,0.46,0.37,80.435
117,Rice,AAC,0.45,0.19,42.222
118,Arkansas State,Sun Belt,0.45,0.22,48.889
119,Nevada-Las Vegas,MWC,0.43,0.3,69.767
120,Old Dominion,Sun Belt,0.43,0.18,41.86
121,Hawaii,MWC,0.4,0.17,42.5
122,Central Michigan,MAC,0.36,0.19,52.778
123,Florida International,CUSA,0.34,0.18,52.941
124,South Florida,AAC,0.18,0.08,44.444
125,Connecticut,Ind,0.18,0.0,0.0
126,Akron,MAC,0.17,0.1,58.824
127,New Mexico,MWC,0.16,0.13,81.25
128,Nevada,MWC,0.07,0.07,100.0
129,Northern Illinois,MAC,0.05,0.05,100.0
