,Team,Conference,% Time in Playoffs,% Make Playoffs Due to AQ,% of Appearances Due to AQ
68,East Carolina,AAC,5.52,1.36,24.638
69,Boston College,ACC,5.02,0.08,1.594
70,Memphis,AAC,5.02,1.22,24.303
71,Mississippi,SEC,5.0,0.0,0.0
72,Washington State,Pac-12,4.94,1.22,24.696
73,Alabama-Birmingham,AAC,4.7,1.42,30.213
74,California,ACC,4.68,0.02,0.427
75,Virginia Tech,ACC,4.58,0.02,0.437
76,James Madison,Sun Belt,4.58,1.7,37.118
77,Eastern Michigan,MAC,4.54,2.78,61.233
78,Toledo,MAC,3.88,2.68,69.072
79,Indiana,Big Ten,3.66,0.0,0.0
80,Arizona State,Big 12,3.6,0.0,0.0
81,New Mexico State,CUSA,3.46,1.98,57.225
82,Louisiana,Sun Belt,3.34,1.2,35.928
83,Southern Mississippi,Sun Belt,3.34,1.08,32.335
84,Rutgers,Big Ten,3.3,0.0,0.0
85,Middle Tennessee State,CUSA,3.18,1.48,46.541
86,Virginia,ACC,2.98,0.02,0.671
87,Navy,AAC,2.9,0.86,29.655
88,North Texas,AAC,2.78,0.76,27.338
89,Stanford,ACC,2.78,0.0,0.0
90,South Alabama,Sun Belt,2.66,0.82,30.827
91,Colorado,Big 12,2.6,0.0,0.0
92,Coastal Carolina,Sun Belt,2.58,1.16,44.961
93,San Diego State,MWC,2.56,1.08,42.188
94,Georgia State,Sun Belt,2.28,1.04,45.614
95,Tulsa,AAC,2.2,0.66,30.0
96,Buffalo,MAC,2.1,1.32,62.857
97,Appalachian State,Sun Belt,2.08,0.78,37.5
98,Miami (OH),MAC,2.04,1.16,56.863
99,Northwestern,Big Ten,1.84,0.0,0.0
100,Louisiana-Monroe,Sun Belt,1.72,0.7,40.698
101,Georgia Southern,Sun Belt,1.66,0.68,40.964
102,Liberty,CUSA,1.54,1.26,81.818
103,San Jose State,MWC,1.54,0.9,58.442
104,Wyoming,MWC,1.32,0.64,48.485
105,Kent State,MAC,1.3,0.64,49.231
106,Utah State,MWC,1.22,0.66,54.098
107,Western Michigan,MAC,1.12,0.38,33.929
108,Colorado State,MWC,1.08,0.64,59.259
109,Florida Atlantic,AAC,1.08,0.26,24.074
110,Army,Ind,1.06,0.0,0.0
111,Temple,AAC,1.04,0.38,36.538
112,Texas State,Sun Belt,0.96,0.68,70.833
113,Texas-El Paso,CUSA,0.8,0.5,62.5
114,Louisiana Tech,CUSA,0.66,0.54,81.818
115,Rice,AAC,0.64,0.3,46.875
116,Ball State,MAC,0.58,0.4,68.966
117,Arkansas State,Sun Belt,0.58,0.3,51.724
118,Charlotte,AAC,0.58,0.2,34.483
119,Hawaii,MWC,0.52,0.26,50.0
120,Florida International,CUSA,0.52,0.34,65.385
121,Nevada-Las Vegas,MWC,0.4,0.26,65.0
122,Old Dominion,Sun Belt,0.34,0.18,52.941
123,South Florida,AAC,0.3,0.1,33.333
124,Central Michigan,MAC,0.28,0.26,92.857
125,Akron,MAC,0.24,0.24,100.0
126,Connecticut,Ind,0.16,0.0,0.0
127,Nevada,MWC,0.12,0.08,66.667
128,Northern Illinois,MAC,0.1,0.08,80.0
129,New Mexico,MWC,0.08,0.04,50.0
130,Massachusetts,Ind,0.02,0.0,0.0
