,Team,Conference,% Time in Playoffs,% Make Playoffs Due to AQ,% of Appearances Due to AQ
0,Georgia,SEC,73.28,0.0,0.0
1,Michigan,Big Ten,47.08,0.0,0.0
2,Alabama,SEC,40.92,0.0,0.0
3,Washington,Big Ten,37.28,0.0,0.0
4,Texas Christian,Big 12,36.18,0.1,0.276
5,Notre Dame,Ind,31.68,0.0,0.0
6,Penn State,Big Ten,28.84,0.0,0.0
7,Kansas State,Big 12,28.1,0.02,0.071
8,Ohio State,Big Ten,23.58,0.0,0.0
9,Iowa,Big Ten,23.44,0.0,0.0
10,Tennessee,SEC,23.38,0.0,0.0
11,Louisiana State,SEC,23.26,0.0,0.0
12,Mississippi State,SEC,22.94,0.0,0.0
13,Tulane,AAC,22.5,4.32,19.2
14,Utah,Big 12,21.84,0.0,0.0
15,Texas,SEC,21.14,0.0,0.0
16,Texas Tech,Big 12,21.1,0.06,0.284
17,Pittsburgh,ACC,20.58,0.1,0.486
18,Minnesota,Big Ten,18.58,0.0,0.0
19,Louisville,ACC,18.1,0.06,0.331
20,Florida State,ACC,17.6,0.14,0.795
21,Troy,Sun Belt,16.82,3.06,18.193
22,Oregon,Big Ten,16.8,0.0,0.0
23,Duke,ACC,16.78,0.12,0.715
24,South Carolina,SEC,16.7,0.0,0.0
25,Fresno State,MWC,15.36,5.22,33.984
26,UCLA,Big Ten,15.3,0.0,0.0
27,Arkansas,SEC,14.22,0.0,0.0
28,Wisconsin,Big Ten,14.16,0.0,0.0
29,Maryland,Big Ten,14.14,0.0,0.0
30,Wake Forest,ACC,13.02,0.08,0.614
31,Brigham Young,Big 12,12.76,0.0,0.0
32,Southern California,Big Ten,12.68,0.0,0.0
33,Oklahoma,SEC,11.34,0.0,0.0
34,Purdue,Big Ten,11.3,0.0,0.0
35,Cincinnati,Big 12,11.08,0.04,0.361
36,Houston,Big 12,10.78,0.02,0.186
37,Illinois,Big Ten,10.6,0.0,0.0
38,Oregon State,Pac-12,10.5,1.64,15.619
39,North Carolina State,ACC,10.46,0.14,1.338
40,Southern Methodist,ACC,10.34,0.04,0.387
41,Clemson,ACC,9.98,0.02,0.2
42,Nebraska,Big Ten,9.28,0.0,0.0
43,West Virginia,Big 12,9.18,0.04,0.436
44,Missouri,SEC,9.14,0.0,0.0
45,Texas A&M,SEC,8.9,0.0,0.0
46,Kentucky,SEC,8.6,0.0,0.0
47,Marshall,Sun Belt,8.24,2.52,30.583
48,Vanderbilt,SEC,8.2,0.0,0.0
49,Syracuse,ACC,8.06,0.06,0.744
50,Central Florida,Big 12,7.76,0.0,0.0
51,Air Force,MWC,7.68,3.8,49.479
52,Baylor,Big 12,7.64,0.04,0.524
53,Arizona,Big 12,7.6,0.02,0.263
54,Michigan State,Big Ten,7.34,0.0,0.0
55,North Carolina,ACC,7.22,0.04,0.554
56,Auburn,SEC,7.2,0.0,0.0
57,Miami (FL),ACC,7.1,0.02,0.282
58,Kansas,Big 12,6.48,0.04,0.617
59,Florida,SEC,6.4,0.0,0.0
60,Iowa State,Big 12,6.4,0.0,0.0
61,Georgia Tech,ACC,6.34,0.04,0.631
62,Jacksonville State,CUSA,5.88,2.74,46.599
63,Ohio,MAC,5.86,3.92,66.894
64,Boise State,MWC,5.86,1.96,33.447
65,Texas-San Antonio,AAC,5.74,1.48,25.784
66,Western Kentucky,CUSA,5.56,2.6,46.763
67,Oklahoma State,Big 12,5.54,0.02,0.361
