,Team,Conference,% Time in Playoffs,% Make Playoffs Due to AQ,% of Appearances Due to AQ
0,Ohio State,Big Ten,85.0,0.0,0.0
1,Clemson,ACC,79.0,0.0,0.0
2,Louisiana State,SEC,74.0,0.0,0.0
3,Oklahoma,SEC,62.0,0.0,0.0
4,Alabama,SEC,39.0,0.0,0.0
5,Oregon,Big Ten,39.0,0.0,0.0
6,Wisconsin,Big Ten,35.0,0.0,0.0
7,Memphis,AAC,32.0,2.0,6.25
8,Florida,SEC,30.0,0.0,0.0
9,Notre Dame,Ind,30.0,0.0,0.0
10,Iowa,Big Ten,28.0,0.0,0.0
11,Auburn,SEC,28.0,0.0,0.0
12,Georgia,SEC,27.0,0.0,0.0
13,Oklahoma State,Big 12,24.0,0.0,0.0
14,Baylor,Big 12,23.0,0.0,0.0
15,Boise State,MWC,23.0,0.0,0.0
16,Penn State,Big Ten,23.0,0.0,0.0
17,Utah,Big 12,23.0,0.0,0.0
18,Southern California,Big Ten,22.0,0.0,0.0
19,Virginia,ACC,21.0,0.0,0.0
20,Michigan,Big Ten,21.0,0.0,0.0
21,Navy,AAC,20.0,2.0,10.0
22,Washington,Big Ten,17.0,0.0,0.0
23,Tennessee,SEC,17.0,0.0,0.0
24,Brigham Young,Big 12,16.0,0.0,0.0
25,Indiana,Big Ten,14.0,0.0,0.0
26,Virginia Tech,ACC,14.0,0.0,0.0
27,Iowa State,Big 12,13.0,0.0,0.0
28,Minnesota,Big Ten,12.0,0.0,0.0
29,West Virginia,Big 12,12.0,0.0,0.0
30,Texas,SEC,12.0,0.0,0.0
31,Southern Methodist,ACC,11.0,0.0,0.0
32,Boston College,ACC,11.0,0.0,0.0
33,Texas A&M,SEC,11.0,0.0,0.0
34,Central Florida,Big 12,11.0,0.0,0.0
35,Cincinnati,Big 12,11.0,0.0,0.0
36,Purdue,Big Ten,10.0,0.0,0.0
37,Oregon State,Pac-12,10.0,1.0,10.0
38,Air Force,MWC,10.0,0.0,0.0
39,Colorado,Big 12,10.0,0.0,0.0
40,Kansas State,Big 12,10.0,0.0,0.0
41,Pittsburgh,ACC,9.0,0.0,0.0
42,Louisville,ACC,9.0,0.0,0.0
43,Arizona State,Big 12,8.0,0.0,0.0
44,Miami (FL),ACC,8.0,0.0,0.0
45,San Diego State,MWC,8.0,0.0,0.0
46,Florida State,ACC,8.0,0.0,0.0
47,Washington State,Pac-12,7.0,0.0,0.0
48,North Carolina,ACC,7.0,0.0,0.0
49,UCLA,Big Ten,7.0,0.0,0.0
50,Houston,Big 12,7.0,0.0,0.0
51,Kentucky,SEC,7.0,0.0,0.0
52,Syracuse,ACC,6.0,0.0,0.0
53,Illinois,Big Ten,6.0,0.0,0.0
54,California,ACC,6.0,0.0,0.0
55,Temple,AAC,5.0,0.0,0.0
56,Nebraska,Big Ten,4.0,0.0,0.0
57,Georgia Tech,ACC,4.0,0.0,0.0
58,Marshall,Sun Belt,4.0,1.0,25.0
59,Mississippi,SEC,4.0,0.0,0.0
60,Michigan State,Big Ten,4.0,0.0,0.0
61,Missouri,SEC,4.0,0.0,0.0
62,Vanderbilt,SEC,3.0,0.0,0.0
63,Duke,ACC,3.0,0.0,0.0
64,Wake Forest,ACC,3.0,0.0,0.0
65,Utah State,MWC,3.0,1.0,33.3333
66,Tulane,AAC,3.0,0.0,0.0
67,Stanford,ACC,3.0,0.0,0.0
68,San Jose State,MWC,3.0,0.0,0.0
69,Texas Tech,Big 12,3.0,0.0,0.0
70,Florida Atlantic,AAC,3.0,2.0,66.6667
71,Texas Christian,Big 12,3.0,0.0,0.0
72,Ohio,MAC,2.0,1.0,50.0
73,Mississippi State,SEC,2.0,0.0,0.0
74,Central Michigan,MAC,2.0,0.0,0.0
75,Appalachian State,Sun Belt,2.0,0.0,0.0
76,South Florida,AAC,1.0,0.0,0.0
77,Kansas,Big 12,1.0,0.0,0.0
78,South Carolina,SEC,1.0,0.0,0.0
79,Wyoming,MWC,1.0,1.0,100.0
80,Hawaii,MWC,1.0,0.0,0.0
81,Nevada,MWC,1.0,0.0,0.0
82,Rice,AAC,1.0,0.0,0.0
83,Miami (OH),MAC,1.0,0.0,0.0
84,Eastern Michigan,MAC,1.0,0.0,0.0
85,Colorado State,MWC,1.0,0.0,0.0
