,Team,Conference,% Time in Playoffs,% Make Playoffs Due to AQ,% of Appearances Due to AQ
0,Georgia,SEC,55.51,0.0,0.0
1,Michigan,Big Ten,30.54,0.0,0.0
2,Texas Christian,Big 12,24.39,0.0,0.0
3,Washington,Pac-12,22.06,0.0,0.0
4,Alabama,SEC,21.38,0.0,0.0
5,Penn State,Big Ten,15.08,0.0,0.0
6,Ohio State,Big Ten,12.62,0.0,0.0
7,Kansas State,Big 12,11.65,0.0,0.0
8,Oregon State,Pac-12,10.68,0.0,0.0
9,Tennessee,SEC,10.1,0.0,0.0
10,Florida State,ACC,10.02,0.0,0.0
11,Texas Tech,Big 12,8.73,0.0,0.0
12,Oregon,Pac-12,8.5,0.0,0.0
13,Pittsburgh,ACC,7.9,0.0,0.0
14,Utah,Pac-12,7.53,0.0,0.0
15,Texas,Big 12,7.09,0.0,0.0
16,Iowa,Big Ten,6.6,0.0,0.0
17,Notre Dame,Ind,6.24,0.0,0.0
18,Southern California,Pac-12,6.13,0.0,0.0
19,Louisville,ACC,5.82,0.0,0.0
20,Clemson,ACC,5.72,0.0,0.0
21,Duke,ACC,5.71,0.0,0.0
22,Minnesota,Big Ten,5.66,0.0,0.0
23,Louisiana State,SEC,5.54,0.0,0.0
24,Mississippi State,SEC,4.7,0.0,0.0
25,Brigham Young,Big 12,3.89,0.0,0.0
26,Wake Forest,ACC,3.77,0.0,0.0
27,Maryland,Big Ten,3.75,0.0,0.0
28,UCLA,Pac-12,3.53,0.0,0.0
29,Purdue,Big Ten,3.27,0.0,0.0
30,Arkansas,SEC,3.04,0.0,0.0
31,Oklahoma,Big 12,3.04,0.0,0.0
32,Wisconsin,Big Ten,2.92,0.0,0.0
33,Houston,Big 12,2.89,0.0,0.0
34,Washington State,Pac-12,2.86,0.0,0.0
35,Cincinnati,Big 12,2.83,0.0,0.0
36,North Carolina State,ACC,2.72,0.0,0.0
37,Illinois,Big Ten,2.65,0.0,0.0
38,West Virginia,Big 12,2.59,0.0,0.0
39,South Carolina,SEC,2.56,0.0,0.0
40,Baylor,Big 12,2.34,0.0,0.0
41,Arizona,Pac-12,2.02,0.0,0.0
42,Nebraska,Big Ten,2.0,0.0,0.0
43,Central Florida,Big 12,1.92,0.0,0.0
44,Michigan State,Big Ten,1.9,0.0,0.0
45,North Carolina,ACC,1.87,0.0,0.0
46,Syracuse,ACC,1.85,0.0,0.0
47,Iowa State,Big 12,1.71,0.0,0.0
48,Auburn,SEC,1.65,0.0,0.0
49,Vanderbilt,SEC,1.57,0.0,0.0
50,Texas A&M,SEC,1.56,0.0,0.0
51,Georgia Tech,ACC,1.53,0.0,0.0
52,Missouri,SEC,1.46,0.0,0.0
53,Kansas,Big 12,1.45,0.0,0.0
54,Kentucky,SEC,1.37,0.0,0.0
55,Oklahoma State,Big 12,1.33,0.0,0.0
56,Miami (FL),ACC,1.29,0.0,0.0
57,Florida,SEC,1.17,0.0,0.0
58,California,Pac-12,0.99,0.0,0.0
59,Arizona State,Pac-12,0.96,0.0,0.0
60,Virginia Tech,ACC,0.94,0.0,0.0
61,Mississippi,SEC,0.94,0.0,0.0
62,Boston College,ACC,0.72,0.0,0.0
63,Indiana,Big Ten,0.69,0.0,0.0
64,Stanford,Pac-12,0.64,0.0,0.0
65,Rutgers,Big Ten,0.58,0.0,0.0
66,Virginia,ACC,0.48,0.0,0.0
67,Colorado,Pac-12,0.41,0.0,0.0
68,Northwestern,Big Ten,0.37,0.0,0.0
69,Tulane,AAC,0.03,0.0,0.0
70,Troy,Sun Belt,0.02,0.0,0.0
71,Boise State,MWC,0.01,0.0,0.0
72,Georgia State,Sun Belt,0.01,0.0,0.0
73,Texas-San Antonio,AAC,0.01,0.0,0.0
