,Team,Conference,% Time in Playoffs,% Make Playoffs Due to AQ,% of Appearances Due to AQ
0,Georgia,SEC,57.8,0.0,0.0
1,Alabama,SEC,39.55,0.0,0.0
2,Michigan,Big Ten,35.8,0.0,0.0
3,Texas Christian,Big 12,34.15,0.1,0.293
4,Washington,Big Ten,33.5,0.0,0.0
5,Penn State,Big Ten,29.0,0.0,0.0
6,Notre Dame,Ind,28.55,0.0,0.0
7,Tulane,AAC,26.55,0.45,1.695
8,Kansas State,Big 12,25.85,0.3,1.161
9,Troy,Sun Belt,23.6,0.25,1.059
10,Florida State,ACC,23.5,0.0,0.0
11,Ohio State,Big Ten,23.25,0.0,0.0
12,Tennessee,SEC,23.0,0.0,0.0
13,Oregon,Big Ten,20.6,0.0,0.0
14,Louisiana State,SEC,20.05,0.0,0.0
15,Oregon State,Pac-12,19.95,0.65,3.258
16,Texas Tech,Big 12,19.85,0.0,0.0
17,Mississippi State,SEC,19.7,0.0,0.0
18,Iowa,Big Ten,19.6,0.0,0.0
19,Pittsburgh,ACC,19.5,0.0,0.0
20,Fresno State,MWC,18.8,0.7,3.723
21,Utah,Big 12,18.7,0.0,0.0
22,Texas,SEC,18.0,0.0,0.0
23,Minnesota,Big Ten,17.75,0.0,0.0
24,Southern California,Big Ten,17.25,0.0,0.0
25,Louisville,ACC,16.4,0.0,0.0
26,Clemson,ACC,15.65,0.05,0.319
27,Air Force,MWC,15.65,0.5,3.195
28,Duke,ACC,15.4,0.0,0.0
29,South Carolina,SEC,14.7,0.0,0.0
30,Arkansas,SEC,14.1,0.0,0.0
31,Brigham Young,Big 12,13.4,0.0,0.0
32,Texas-San Antonio,AAC,12.8,0.3,2.344
33,Maryland,Big Ten,12.7,0.05,0.394
34,UCLA,Big Ten,12.35,0.0,0.0
35,Wisconsin,Big Ten,12.0,0.0,0.0
36,Wake Forest,ACC,11.3,0.05,0.442
37,Oklahoma,SEC,10.35,0.0,0.0
38,North Carolina State,ACC,10.1,0.0,0.0
39,Illinois,Big Ten,9.55,0.0,0.0
40,Southern Methodist,ACC,9.4,0.05,0.532
41,Ohio,MAC,9.4,0.9,9.574
42,Cincinnati,Big 12,9.25,0.0,0.0
43,Marshall,Sun Belt,9.2,0.35,3.804
44,Houston,Big 12,9.15,0.0,0.0
45,Purdue,Big Ten,9.1,0.0,0.0
46,Missouri,SEC,8.85,0.0,0.0
47,Nebraska,Big Ten,8.0,0.0,0.0
48,James Madison,Sun Belt,7.85,0.5,6.369
49,Auburn,SEC,7.75,0.0,0.0
50,Boise State,MWC,7.7,0.2,2.597
51,West Virginia,Big 12,7.6,0.0,0.0
52,Kentucky,SEC,7.55,0.0,0.0
53,Vanderbilt,SEC,7.45,0.0,0.0
54,North Carolina,ACC,7.25,0.0,0.0
55,Washington State,Pac-12,6.8,0.2,2.941
56,Baylor,Big 12,6.75,0.0,0.0
57,Western Kentucky,CUSA,6.6,0.2,3.03
58,Arizona,Big 12,6.6,0.0,0.0
59,Texas A&M,SEC,6.55,0.0,0.0
60,Jacksonville State,CUSA,6.55,0.3,4.58
61,Toledo,MAC,6.45,0.45,6.977
62,Central Florida,Big 12,6.35,0.0,0.0
63,East Carolina,AAC,6.25,0.3,4.8
64,Syracuse,ACC,6.2,0.0,0.0
65,Michigan State,Big Ten,6.15,0.0,0.0
66,Alabama-Birmingham,AAC,5.95,0.2,3.361
67,Eastern Michigan,MAC,5.85,0.45,7.692
68,Miami (FL),ACC,5.6,0.05,0.893
69,Georgia Tech,ACC,5.4,0.0,0.0
70,Florida,SEC,5.25,0.0,0.0
71,Kansas,Big 12,5.1,0.0,0.0
72,Oklahoma State,Big 12,5.05,0.0,0.0
73,Memphis,AAC,5.0,0.25,5.0
74,Mississippi,SEC,4.75,0.0,0.0
75,Middle Tennessee State,CUSA,4.7,0.25,5.319
76,South Alabama,Sun Belt,4.45,0.05,1.124
77,New Mexico State,CUSA,4.15,0.45,10.843
78,Southern Mississippi,Sun Belt,4.0,0.15,3.75
79,Boston College,ACC,4.0,0.05,1.25
80,Miami (OH),MAC,3.85,0.35,9.091
81,Tulsa,AAC,3.8,0.2,5.263
82,Army,Ind,3.7,0.0,0.0
83,Iowa State,Big 12,3.65,0.0,0.0
84,Virginia Tech,ACC,3.65,0.0,0.0
85,San Diego State,MWC,3.55,0.25,7.042
86,California,ACC,3.55,0.0,0.0
87,Coastal Carolina,Sun Belt,3.3,0.2,6.061
88,Navy,AAC,3.25,0.2,6.154
89,Indiana,Big Ten,3.25,0.0,0.0
90,Louisiana,Sun Belt,3.25,0.1,3.077
91,Georgia State,Sun Belt,3.2,0.05,1.562
92,North Texas,AAC,3.05,0.35,11.475
93,Buffalo,MAC,3.0,0.2,6.667
94,Appalachian State,Sun Belt,2.95,0.1,3.39
95,Louisiana-Monroe,Sun Belt,2.9,0.05,1.724
96,Kent State,MAC,2.65,0.35,13.208
97,Arizona State,Big 12,2.65,0.0,0.0
98,Rutgers,Big Ten,2.3,0.0,0.0
99,Virginia,ACC,2.3,0.0,0.0
100,Western Michigan,MAC,2.25,0.15,6.667
101,Utah State,MWC,2.2,0.0,0.0
102,Stanford,ACC,2.2,0.0,0.0
103,Texas-El Paso,CUSA,2.15,0.15,6.977
104,Wyoming,MWC,2.1,0.15,7.143
105,San Jose State,MWC,2.0,0.15,7.5
106,Liberty,CUSA,1.95,0.2,10.256
