,Team,Conference,% Time in Playoffs,% Make Playoffs Due to AQ,% of Appearances Due to AQ
107,Colorado,Big 12,1.9,0.0,0.0
108,Georgia Southern,Sun Belt,1.9,0.15,7.895
109,Temple,AAC,1.85,0.05,2.703
110,Northwestern,Big Ten,1.65,0.0,0.0
111,Ball State,MAC,1.5,0.25,16.667
112,Florida Atlantic,AAC,1.4,0.1,7.143
113,Texas State,Sun Belt,1.25,0.1,8.0
114,Hawaii,MWC,1.25,0.0,0.0
115,Central Michigan,MAC,1.2,0.1,8.333
116,Colorado State,MWC,1.15,0.1,8.696
117,Nevada-Las Vegas,MWC,1.15,0.1,8.696
118,Charlotte,AAC,1.15,0.1,8.696
119,Louisiana Tech,CUSA,1.1,0.1,9.091
120,Rice,AAC,1.05,0.0,0.0
121,Connecticut,Ind,1.0,0.0,0.0
122,Arkansas State,Sun Belt,0.85,0.0,0.0
123,Florida International,CUSA,0.85,0.05,5.882
124,Old Dominion,Sun Belt,0.85,0.05,5.882
125,Akron,MAC,0.65,0.0,0.0
126,Nevada,MWC,0.45,0.05,11.111
127,New Mexico,MWC,0.4,0.0,0.0
128,Northern Illinois,MAC,0.25,0.0,0.0
129,South Florida,AAC,0.15,0.0,0.0
130,Massachusetts,Ind,0.1,0.0,0.0
