,Team,Conference,% Time in Playoffs
0,Georgia,SEC,89.9
1,Michigan,Big Ten,87.24
2,Texas,Big 12,76.9
3,Washington,Pac-12,69.16
4,Oregon,Pac-12,34.24
5,Alabama,SEC,30.08
6,Ohio State,Big Ten,12.48
