,Team,Conference,% Time in Playoffs,% Make Playoffs Due to AQ,% of Appearances Due to AQ
85,North Texas,AAC,3.38,0.0,0.0
86,Navy,AAC,3.28,0.0,0.0
87,Arizona State,Big 12,3.24,0.0,0.0
88,Coastal Carolina,Sun Belt,3.22,0.0,0.0
89,San Diego State,MWC,3.16,0.0,0.0
90,Indiana,Big Ten,3.06,0.0,0.0
91,Tulsa,AAC,2.98,0.0,0.0
92,Buffalo,MAC,2.94,0.0,0.0
93,Miami (OH),MAC,2.75,0.0,0.0
94,Rutgers,Big Ten,2.72,0.0,0.0
95,Georgia State,Sun Belt,2.65,0.0,0.0
96,Louisiana-Monroe,Sun Belt,2.51,0.0,0.0
97,Wyoming,MWC,2.44,0.0,0.0
98,Appalachian State,Sun Belt,2.43,0.0,0.0
99,Virginia,ACC,2.38,0.0,0.0
100,Kent State,MAC,2.13,0.0,0.0
101,San Jose State,MWC,2.07,0.0,0.0
102,Colorado,Big 12,2.07,0.0,0.0
103,Stanford,ACC,1.98,0.0,0.0
104,Western Michigan,MAC,1.93,0.0,0.0
105,Georgia Southern,Sun Belt,1.89,0.0,0.0
106,Liberty,CUSA,1.77,0.0,0.0
107,Utah State,MWC,1.69,0.0,0.0
108,Northwestern,Big Ten,1.67,0.0,0.0
109,Colorado State,MWC,1.56,0.0,0.0
110,Temple,AAC,1.55,0.0,0.0
111,Texas-El Paso,CUSA,1.43,0.0,0.0
112,Texas State,Sun Belt,1.36,0.0,0.0
113,Florida Atlantic,AAC,1.15,0.0,0.0
114,Connecticut,Ind,1.14,0.0,0.0
115,Charlotte,AAC,1.14,0.01,0.877
116,Ball State,MAC,1.1,0.0,0.0
117,Louisiana Tech,CUSA,1.09,0.0,0.0
118,Hawaii,MWC,0.98,0.0,0.0
119,Nevada-Las Vegas,MWC,0.94,0.0,0.0
120,Arkansas State,Sun Belt,0.91,0.0,0.0
121,Central Michigan,MAC,0.8,0.0,0.0
122,Old Dominion,Sun Belt,0.74,0.0,0.0
123,Rice,AAC,0.69,0.0,0.0
124,Florida International,CUSA,0.69,0.0,0.0
125,Akron,MAC,0.39,0.0,0.0
126,New Mexico,MWC,0.3,0.0,0.0
127,Nevada,MWC,0.29,0.0,0.0
128,South Florida,AAC,0.27,0.0,0.0
129,Northern Illinois,MAC,0.24,0.0,0.0
130,Massachusetts,Ind,0.02,0.0,0.0
