,Team,Conference,% Time in Playoffs,% Make Playoffs Due to AQ,% of Appearances Due to AQ
0,Georgia,SEC,58.79,0.0,0.0
1,Alabama,SEC,40.51,0.0,0.0
2,Michigan,Big Ten,36.92,0.0,0.0
3,Washington,Big Ten,36.65,0.0,0.0
4,Texas Christian,Big 12,34.63,0.0,0.0
5,Penn State,Big Ten,29.9,0.0,0.0
6,Notre Dame,Ind,29.12,0.0,0.0
7,Tulane,AAC,26.99,0.0,0.0
8,Kansas State,Big 12,24.57,0.0,0.0
9,Florida State,ACC,23.46,0.0,0.0
10,Ohio State,Big Ten,22.92,0.0,0.0
11,Troy,Sun Belt,22.87,0.0,0.0
12,Tennessee,SEC,22.47,0.0,0.0
13,Oregon,Big Ten,20.99,0.0,0.0
14,Iowa,Big Ten,20.98,0.0,0.0
15,Louisiana State,SEC,20.56,0.0,0.0
16,Fresno State,MWC,19.93,0.0,0.0
17,Pittsburgh,ACC,19.85,0.0,0.0
18,Texas,SEC,19.31,0.0,0.0
19,Oregon State,Pac-12,19.25,0.0,0.0
20,Mississippi State,SEC,19.24,0.0,0.0
21,Texas Tech,Big 12,18.84,0.0,0.0
22,Minnesota,Big Ten,17.45,0.0,0.0
23,Utah,Big 12,17.26,0.0,0.0
24,Southern California,Big Ten,16.91,0.0,0.0
25,Louisville,ACC,16.82,0.0,0.0
26,Air Force,MWC,15.29,0.0,0.0
27,South Carolina,SEC,14.52,0.0,0.0
28,Clemson,ACC,14.36,0.0,0.0
29,Duke,ACC,13.9,0.0,0.0
30,Maryland,Big Ten,13.24,0.0,0.0
31,Arkansas,SEC,13.17,0.0,0.0
32,Wisconsin,Big Ten,12.52,0.0,0.0
33,Brigham Young,Big 12,12.27,0.0,0.0
34,UCLA,Big Ten,12.17,0.0,0.0
35,Texas-San Antonio,AAC,11.63,0.0,0.0
36,Wake Forest,ACC,11.56,0.0,0.0
37,Illinois,Big Ten,10.08,0.0,0.0
38,Houston,Big 12,9.98,0.0,0.0
39,Oklahoma,SEC,9.78,0.0,0.0
40,Marshall,Sun Belt,9.75,0.0,0.0
41,Cincinnati,Big 12,9.69,0.0,0.0
42,Purdue,Big Ten,9.35,0.0,0.0
43,Southern Methodist,ACC,9.26,0.0,0.0
44,North Carolina State,ACC,9.08,0.0,0.0
45,Missouri,SEC,8.5,0.0,0.0
46,Nebraska,Big Ten,8.44,0.0,0.0
47,James Madison,Sun Belt,8.24,0.0,0.0
48,Vanderbilt,SEC,8.12,0.0,0.0
49,Ohio,MAC,8.0,0.01,0.125
50,Kentucky,SEC,7.93,0.0,0.0
51,Western Kentucky,CUSA,7.56,0.0,0.0
52,West Virginia,Big 12,7.53,0.0,0.0
53,Auburn,SEC,7.4,0.0,0.0
54,Baylor,Big 12,7.4,0.0,0.0
55,Central Florida,Big 12,7.36,0.0,0.0
56,Syracuse,ACC,7.05,0.0,0.0
57,North Carolina,ACC,7.03,0.0,0.0
58,Boise State,MWC,6.99,0.0,0.0
59,Texas A&M,SEC,6.92,0.0,0.0
60,East Carolina,AAC,6.5,0.0,0.0
61,Michigan State,Big Ten,6.47,0.0,0.0
62,Eastern Michigan,MAC,6.19,0.0,0.0
63,Miami (FL),ACC,6.15,0.0,0.0
64,Washington State,Pac-12,6.1,0.0,0.0
65,Arizona,Big 12,6.0,0.0,0.0
66,Jacksonville State,CUSA,5.98,0.0,0.0
67,Georgia Tech,ACC,5.96,0.0,0.0
68,Florida,SEC,5.82,0.0,0.0
69,Toledo,MAC,5.62,0.0,0.0
70,Memphis,AAC,5.26,0.0,0.0
71,Kansas,Big 12,5.05,0.0,0.0
72,Alabama-Birmingham,AAC,5.0,0.0,0.0
73,Iowa State,Big 12,4.95,0.0,0.0
74,Oklahoma State,Big 12,4.87,0.0,0.0
75,South Alabama,Sun Belt,4.86,0.0,0.0
76,Middle Tennessee State,CUSA,4.73,0.0,0.0
77,Mississippi,SEC,4.49,0.0,0.0
78,Louisiana,Sun Belt,4.27,0.0,0.0
79,Southern Mississippi,Sun Belt,4.21,0.0,0.0
80,Boston College,ACC,4.11,0.0,0.0
81,New Mexico State,CUSA,3.94,0.0,0.0
82,Army,Ind,3.78,0.0,0.0
83,Virginia Tech,ACC,3.78,0.0,0.0
84,California,ACC,3.53,0.0,0.0
