,Team,Conference,% Time in Playoffs,% Make Playoffs Due to AQ,% of Appearances Due to AQ
0,Georgia,SEC,90.82,0.0,0.0
1,Ohio State,Big Ten,82.18,0.0,0.0
2,Michigan,Big Ten,80.29,0.0,0.0
3,Washington,Big Ten,71.28,0.0,0.0
4,Alabama,SEC,69.84,0.0,0.0
5,Florida State,ACC,64.67,0.05,0.077
6,Texas,SEC,51.41,0.0,0.0
7,Oregon,Big Ten,51.39,0.0,0.0
8,Missouri,SEC,37.86,0.0,0.0
9,Arizona,Big 12,37.72,0.48,1.273
10,Iowa,Big Ten,35.61,0.0,0.0
11,Louisville,ACC,34.21,0.0,0.0
12,James Madison,Sun Belt,33.46,2.78,8.308
13,Penn State,Big Ten,27.36,0.0,0.0
14,Oklahoma,SEC,25.72,0.0,0.0
15,North Carolina State,ACC,24.26,0.01,0.041
16,Troy,Sun Belt,22.99,2.05,8.917
17,Mississippi,SEC,21.58,0.0,0.0
18,Tulane,AAC,20.19,2.53,12.531
19,Oregon State,Pac-12,18.89,0.48,2.541
20,Kansas State,Big 12,18.28,0.48,2.626
21,Louisiana State,SEC,17.88,0.0,0.0
22,Clemson,ACC,16.04,0.03,0.187
23,North Carolina,ACC,14.19,0.01,0.07
24,Notre Dame,Ind,13.63,0.0,0.0
25,Kansas,Big 12,12.29,0.32,2.604
26,Iowa State,Big 12,11.79,0.19,1.612
27,Coastal Carolina,Sun Belt,11.5,1.84,16.0
28,Texas Tech,Big 12,9.91,0.28,2.825
29,Oklahoma State,Big 12,9.59,0.14,1.46
30,Virginia Tech,ACC,9.32,0.01,0.107
31,Northwestern,Big Ten,9.32,0.0,0.0
32,Utah,Big 12,9.18,0.14,1.525
33,Tennessee,SEC,8.52,0.0,0.0
34,Texas A&M,SEC,8.11,0.0,0.0
35,Illinois,Big Ten,7.72,0.0,0.0
36,Auburn,SEC,7.25,0.0,0.0
37,Southern California,Big Ten,6.83,0.0,0.0
38,Southern Methodist,ACC,6.59,0.0,0.0
39,Toledo,MAC,5.94,1.63,27.441
40,Memphis,AAC,5.76,0.64,11.111
41,Texas-San Antonio,AAC,5.75,1.13,19.652
42,West Virginia,Big 12,5.47,0.14,2.559
43,Central Florida,Big 12,4.92,0.1,2.033
44,San Jose State,MWC,3.64,0.57,15.659
45,Miami (FL),ACC,3.35,0.01,0.299
46,Maryland,Big Ten,3.06,0.0,0.0
47,Duke,ACC,3.03,0.0,0.0
48,UCLA,Big Ten,2.96,0.0,0.0
49,Kentucky,SEC,2.88,0.0,0.0
50,Rutgers,Big Ten,2.63,0.0,0.0
51,Arizona State,Big 12,2.49,0.06,2.41
52,Liberty,CUSA,2.47,1.18,47.773
53,Appalachian State,Sun Belt,2.12,0.44,20.755
54,South Carolina,SEC,2.06,0.0,0.0
55,Fresno State,MWC,2.06,0.49,23.786
56,Texas Christian,Big 12,2.05,0.04,1.951
57,Purdue,Big Ten,1.87,0.0,0.0
58,Miami (OH),MAC,1.78,0.67,37.64
59,Syracuse,ACC,1.75,0.0,0.0
60,Georgia Tech,ACC,1.66,0.01,0.602
61,Boston College,ACC,1.53,0.0,0.0
62,Texas State,Sun Belt,1.5,0.4,26.667
63,Nebraska,Big Ten,1.44,0.0,0.0
64,Nevada-Las Vegas,MWC,1.44,0.46,31.944
65,Houston,Big 12,1.41,0.09,6.383
66,Florida,SEC,1.16,0.0,0.0
67,Wisconsin,Big Ten,1.14,0.0,0.0
68,Michigan State,Big Ten,0.85,0.0,0.0
69,Colorado,Big 12,0.83,0.02,2.41
70,Cincinnati,Big 12,0.74,0.01,1.351
71,Brigham Young,Big 12,0.72,0.03,4.167
72,Wake Forest,ACC,0.66,0.0,0.0
73,California,ACC,0.65,0.0,0.0
74,Stanford,ACC,0.64,0.0,0.0
75,Boise State,MWC,0.62,0.12,19.355
76,Baylor,Big 12,0.47,0.04,8.511
77,Arkansas,SEC,0.45,0.0,0.0
78,South Alabama,Sun Belt,0.45,0.16,35.556
79,Minnesota,Big Ten,0.39,0.0,0.0
80,Old Dominion,Sun Belt,0.36,0.06,16.667
81,New Mexico State,CUSA,0.35,0.19,54.286
82,Indiana,Big Ten,0.31,0.0,0.0
83,Marshall,Sun Belt,0.31,0.06,19.355
84,Wyoming,MWC,0.28,0.1,35.714
85,Arkansas State,Sun Belt,0.23,0.04,17.391
86,Georgia State,Sun Belt,0.17,0.06,35.294
87,Utah State,MWC,0.14,0.03,21.429
88,Jacksonville State,CUSA,0.13,0.05,38.462
89,Pittsburgh,ACC,0.13,0.01,7.692
90,Virginia,ACC,0.11,0.0,0.0
91,Mississippi State,SEC,0.11,0.0,0.0
92,Georgia Southern,Sun Belt,0.11,0.03,27.273
93,Louisiana,Sun Belt,0.11,0.07,63.636
94,Southern Mississippi,Sun Belt,0.09,0.04,44.444
95,Vanderbilt,SEC,0.09,0.0,0.0
96,Colorado State,MWC,0.08,0.04,50.0
97,Air Force,MWC,0.06,0.03,50.0
98,Western Michigan,MAC,0.06,0.03,50.0
99,Ohio,MAC,0.06,0.05,83.333
100,South Florida,AAC,0.05,0.02,40.0
101,Rice,AAC,0.04,0.02,50.0
102,Central Michigan,MAC,0.03,0.02,66.667
103,Hawaii,MWC,0.03,0.02,66.667
104,East Carolina,AAC,0.02,0.01,50.0
105,San Diego State,MWC,0.02,0.01,50.0
106,Navy,AAC,0.02,0.0,0.0
107,Army,Ind,0.01,0.0,0.0
108,Temple,AAC,0.01,0.01,100.0
109,Washington State,Pac-12,0.01,0.0,0.0
110,North Texas,AAC,0.01,0.01,100.0
