,Team,Conference,% Time in Playoffs,% Make Playoffs Due to AQ,% of Appearances Due to AQ
44,Houston,Big 12,9.74,0.02,0.205
45,Nebraska,Big Ten,9.7,0.0,0.0
46,Syracuse,ACC,9.44,0.06,0.636
47,Kentucky,SEC,9.2,0.0,0.0
48,Vanderbilt,SEC,8.96,0.0,0.0
49,Michigan State,Big Ten,8.54,0.0,0.0
50,Auburn,SEC,8.32,0.0,0.0
51,Central Florida,Big 12,7.84,0.0,0.0
52,Baylor,Big 12,7.74,0.02,0.258
53,Miami (FL),ACC,7.6,0.0,0.0
54,Arizona,Big 12,7.06,0.0,0.0
55,North Carolina,ACC,7.06,0.04,0.567
56,Florida,SEC,6.86,0.0,0.0
57,Marshall,Sun Belt,6.54,0.72,11.009
58,Georgia Tech,ACC,6.5,0.06,0.923
59,Kansas,Big 12,6.36,0.0,0.0
60,Iowa State,Big 12,6.12,0.02,0.327
61,Oklahoma State,Big 12,5.96,0.0,0.0
62,Mississippi,SEC,5.66,0.0,0.0
63,Air Force,MWC,5.56,0.76,13.669
64,Texas-San Antonio,AAC,5.36,0.34,6.343
65,Boston College,ACC,5.0,0.04,0.8
66,California,ACC,4.8,0.02,0.417
67,Boise State,MWC,4.64,0.42,9.052
68,Washington State,Pac-12,4.48,0.08,1.786
69,East Carolina,AAC,4.38,0.28,6.393
70,Indiana,Big Ten,4.3,0.0,0.0
71,Virginia Tech,ACC,4.22,0.02,0.474
72,Western Kentucky,CUSA,4.06,0.58,14.286
73,Arizona State,Big 12,4.06,0.0,0.0
74,Jacksonville State,CUSA,3.78,0.56,14.815
75,Stanford,ACC,3.72,0.02,0.538
76,Memphis,AAC,3.7,0.22,5.946
77,Rutgers,Big Ten,3.7,0.0,0.0
78,Alabama-Birmingham,AAC,3.56,0.34,9.551
79,Southern Mississippi,Sun Belt,3.12,0.36,11.538
80,James Madison,Sun Belt,3.1,0.42,13.548
81,Virginia,ACC,3.02,0.02,0.662
82,Louisiana,Sun Belt,2.88,0.28,9.722
83,Ohio,MAC,2.62,0.56,21.374
84,Colorado,Big 12,2.54,0.0,0.0
85,North Texas,AAC,2.44,0.3,12.295
86,Navy,AAC,2.36,0.3,12.712
87,Toledo,MAC,2.18,0.78,35.78
88,South Alabama,Sun Belt,2.16,0.32,14.815
89,Eastern Michigan,MAC,2.16,0.38,17.593
90,Tulsa,AAC,2.06,0.26,12.621
91,San Diego State,MWC,2.02,0.16,7.921
92,Coastal Carolina,Sun Belt,1.88,0.28,14.894
93,Georgia State,Sun Belt,1.74,0.22,12.644
94,Louisiana-Monroe,Sun Belt,1.58,0.2,12.658
95,Northwestern,Big Ten,1.56,0.0,0.0
96,Army,Ind,1.52,0.0,0.0
97,Middle Tennessee State,CUSA,1.5,0.22,14.667
98,New Mexico State,CUSA,1.44,0.26,18.056
99,Appalachian State,Sun Belt,1.2,0.24,20.0
100,Buffalo,MAC,1.04,0.18,17.308
101,Georgia Southern,Sun Belt,1.02,0.08,7.843
102,Miami (OH),MAC,1.02,0.16,15.686
103,San Jose State,MWC,0.96,0.12,12.5
104,Kent State,MAC,0.92,0.18,19.565
105,Wyoming,MWC,0.92,0.06,6.522
106,Florida Atlantic,AAC,0.88,0.08,9.091
107,Texas State,Sun Belt,0.86,0.14,16.279
108,Temple,AAC,0.84,0.1,11.905
109,Western Michigan,MAC,0.78,0.06,7.692
110,Utah State,MWC,0.7,0.14,20.0
111,Colorado State,MWC,0.68,0.1,14.706
112,Charlotte,AAC,0.62,0.06,9.677
113,Liberty,CUSA,0.52,0.16,30.769
114,Arkansas State,Sun Belt,0.48,0.18,37.5
115,Old Dominion,Sun Belt,0.44,0.14,31.818
116,Texas-El Paso,CUSA,0.42,0.16,38.095
117,Rice,AAC,0.4,0.0,0.0
118,Florida International,CUSA,0.36,0.12,33.333
119,Louisiana Tech,CUSA,0.34,0.04,11.765
120,Hawaii,MWC,0.28,0.02,7.143
121,Central Michigan,MAC,0.24,0.06,25.0
122,Ball State,MAC,0.2,0.04,20.0
123,Nevada-Las Vegas,MWC,0.18,0.06,33.333
124,Connecticut,Ind,0.18,0.0,0.0
125,Akron,MAC,0.14,0.06,42.857
126,South Florida,AAC,0.12,0.06,50.0
127,New Mexico,MWC,0.12,0.04,33.333
128,Northern Illinois,MAC,0.04,0.0,0.0
129,Nevada,MWC,0.02,0.0,0.0
