,Team,Conference,% Time in Playoffs,% Make Playoffs Due to AQ,% of Appearances Due to AQ
0,Georgia,SEC,74.6,0.0,0.0
1,Michigan,Big Ten,48.68,0.0,0.0
2,Alabama,SEC,41.0,0.0,0.0
3,Washington,Big Ten,38.62,0.0,0.0
4,Texas Christian,Big 12,36.92,0.02,0.054
5,Notre Dame,Ind,32.78,0.0,0.0
6,Penn State,Big Ten,30.52,0.0,0.0
7,Kansas State,Big 12,29.54,0.04,0.135
8,Louisiana State,SEC,24.94,0.0,0.0
9,Tennessee,SEC,24.9,0.0,0.0
10,Iowa,Big Ten,24.16,0.0,0.0
11,Ohio State,Big Ten,24.06,0.0,0.0
12,Mississippi State,SEC,23.06,0.0,0.0
13,Utah,Big 12,22.54,0.06,0.266
14,Texas,SEC,22.36,0.0,0.0
15,Texas Tech,Big 12,21.94,0.02,0.091
16,Tulane,AAC,21.86,1.64,7.502
17,Pittsburgh,ACC,21.26,0.0,0.0
18,Minnesota,Big Ten,19.82,0.0,0.0
19,Louisville,ACC,19.36,0.04,0.207
20,Florida State,ACC,18.34,0.0,0.0
21,South Carolina,SEC,17.18,0.0,0.0
22,Duke,ACC,16.72,0.02,0.12
23,Oregon,Big Ten,16.68,0.0,0.0
24,UCLA,Big Ten,16.62,0.0,0.0
25,Troy,Sun Belt,15.9,0.9,5.66
26,Arkansas,SEC,15.8,0.0,0.0
27,Maryland,Big Ten,15.1,0.0,0.0
28,Wisconsin,Big Ten,14.92,0.0,0.0
29,Southern California,Big Ten,14.12,0.0,0.0
30,Wake Forest,ACC,13.8,0.0,0.0
31,Brigham Young,Big 12,12.62,0.0,0.0
32,Oklahoma,SEC,12.28,0.0,0.0
33,Illinois,Big Ten,12.04,0.0,0.0
34,Cincinnati,Big 12,11.94,0.0,0.0
35,Fresno State,MWC,11.72,1.02,8.703
36,Purdue,Big Ten,11.66,0.0,0.0
37,North Carolina State,ACC,11.6,0.02,0.172
38,Clemson,ACC,11.3,0.06,0.531
39,Southern Methodist,ACC,11.26,0.02,0.178
40,West Virginia,Big 12,10.3,0.04,0.388
41,Missouri,SEC,10.04,0.0,0.0
42,Oregon State,Pac-12,9.92,0.36,3.629
43,Texas A&M,SEC,9.9,0.0,0.0
