,Team,Conference,% Time in Playoffs
0,Georgia,SEC,86.84
1,Florida State,ACC,85.58
2,Texas,Big 12,65.04
3,Washington,Pac-12,64.64
4,Oregon,Pac-12,35.68
5,Alabama,SEC,31.34
6,Michigan,Big Ten,29.08
7,Ohio State,Big Ten,1.8
