,Team,Conference,% Time in Playoffs,% Make Playoffs Due to AQ,% of Appearances Due to AQ
0,Ohio State,Big Ten,90.8,0.0,0.0
1,Georgia,SEC,89.5,0.0,0.0
2,Michigan,Big Ten,82.5,0.0,0.0
3,Washington,Big Ten,79.3,0.0,0.0
4,Alabama,SEC,74.95,0.0,0.0
5,Florida State,ACC,73.4,0.0,0.0
6,Oregon,Big Ten,67.75,0.0,0.0
7,Texas,SEC,61.05,0.0,0.0
8,Missouri,SEC,46.5,0.0,0.0
9,Louisville,ACC,45.2,0.0,0.0
10,Tulane,AAC,44.8,44.8,100.0
11,James Madison,Sun Belt,40.55,40.55,100.0
12,Penn State,Big Ten,40.5,0.0,0.0
13,Iowa,Big Ten,31.7,0.0,0.0
14,Troy,Sun Belt,24.7,24.7,100.0
15,Arizona,Big 12,24.65,0.0,0.0
16,Auburn,SEC,19.45,0.0,0.0
17,Clemson,ACC,17.35,0.0,0.0
18,Kansas State,Big 12,17.0,0.0,0.0
19,Toledo,MAC,16.45,16.45,100.0
20,Liberty,CUSA,15.3,15.3,100.0
21,Memphis,AAC,14.1,14.1,100.0
22,Iowa State,Big 12,13.55,0.0,0.0
23,North Carolina,ACC,11.6,0.0,0.0
24,Texas Tech,Big 12,11.45,0.0,0.0
25,Coastal Carolina,Sun Belt,10.95,10.95,100.0
26,Oregon State,Pac-12,10.25,9.85,96.098
27,Kansas,Big 12,9.85,0.0,0.0
28,Utah,Big 12,8.4,0.0,0.0
29,Kentucky,SEC,8.3,0.0,0.0
30,North Carolina State,ACC,7.75,0.0,0.0
31,Oklahoma,SEC,7.0,0.0,0.0
32,Illinois,Big Ten,6.35,0.0,0.0
33,Florida,SEC,6.25,0.0,0.0
34,Central Florida,Big 12,5.9,0.0,0.0
35,Appalachian State,Sun Belt,5.8,5.8,100.0
36,West Virginia,Big 12,5.5,0.0,0.0
37,Virginia Tech,ACC,4.75,0.0,0.0
38,Texas-San Antonio,AAC,4.5,4.5,100.0
39,Maryland,Big Ten,4.25,0.0,0.0
40,Miami (FL),ACC,3.95,0.0,0.0
41,Arizona State,Big 12,3.7,0.0,0.0
42,Mississippi,SEC,3.55,0.0,0.0
43,Northwestern,Big Ten,3.05,0.0,0.0
44,Rutgers,Big Ten,2.95,0.0,0.0
45,Miami (OH),MAC,2.35,2.35,100.0
46,Nevada-Las Vegas,MWC,2.3,2.3,100.0
47,San Jose State,MWC,1.85,1.85,100.0
48,Georgia Tech,ACC,1.6,0.0,0.0
49,Oklahoma State,Big 12,1.3,0.0,0.0
50,Texas State,Sun Belt,1.1,1.1,100.0
51,Cincinnati,Big 12,1.05,0.0,0.0
52,Brigham Young,Big 12,1.0,0.0,0.0
53,Texas Christian,Big 12,0.9,0.0,0.0
54,South Alabama,Sun Belt,0.85,0.85,100.0
55,New Mexico State,CUSA,0.8,0.8,100.0
56,Houston,Big 12,0.8,0.0,0.0
57,Boston College,ACC,0.75,0.0,0.0
58,Southern Mississippi,Sun Belt,0.75,0.75,100.0
59,Tennessee,SEC,0.7,0.0,0.0
60,Navy,AAC,0.65,0.65,100.0
61,Southern Methodist,ACC,0.6,0.0,0.0
62,Colorado,Big 12,0.6,0.0,0.0
63,Boise State,MWC,0.55,0.55,100.0
64,Baylor,Big 12,0.4,0.05,12.5
65,South Carolina,SEC,0.35,0.0,0.0
66,Michigan State,Big Ten,0.25,0.0,0.0
67,Louisiana State,SEC,0.25,0.0,0.0
68,Georgia Southern,Sun Belt,0.2,0.2,100.0
69,Arkansas State,Sun Belt,0.2,0.2,100.0
70,Fresno State,MWC,0.2,0.2,100.0
71,Old Dominion,Sun Belt,0.1,0.1,100.0
72,South Florida,AAC,0.1,0.1,100.0
73,Stanford,ACC,0.05,0.0,0.0
74,Duke,ACC,0.05,0.0,0.0
75,Western Michigan,MAC,0.05,0.05,100.0
76,Jacksonville State,CUSA,0.05,0.05,100.0
77,Wake Forest,ACC,0.05,0.0,0.0
78,Pittsburgh,ACC,0.05,0.0,0.0
79,Air Force,MWC,0.05,0.05,100.0
