,Conference,Avg Num Playoff Teams,Avg Num Playoffs Due to AQ,% of Teams Due to AQ
0,SEC,3.151,0.0,0.0
1,Big Ten,3.148,0.0,0.0
2,Big 12,2.032,0.002,0.118
3,ACC,1.75,0.004,0.251
4,AAC,0.486,0.04,8.193
5,Sun Belt,0.429,0.045,10.443
6,Ind,0.345,0.0,0.0
7,MWC,0.278,0.029,10.432
8,Pac-12,0.144,0.004,3.056
9,CUSA,0.124,0.021,16.908
10,MAC,0.113,0.025,21.693
Total,All,12.0,0.17,1.42
