,Conference,Avg Num Playoff Teams,Avg Num Playoffs Due to AQ,% of Teams Due to AQ
0,Big Ten,4.094,0.0,0.0
1,SEC,3.179,0.0,0.0
2,ACC,1.671,0.0,0.0
3,Big 12,1.06,0.001,0.047
4,Sun Belt,0.852,0.852,100.0
5,AAC,0.641,0.641,100.0
6,MAC,0.189,0.189,100.0
7,CUSA,0.162,0.162,100.0
8,Pac-12,0.102,0.099,96.098
9,MWC,0.05,0.05,100.0
Total,All,12.0,1.992,16.6
