,Conference,Avg Num Playoff Teams,Avg Num Playoffs Due to AQ,% of Teams Due to AQ
0,SEC,2.62,0.0,0.0
1,Big Ten,2.6,0.01,0.385
2,Big 12,1.97,0.01,0.508
3,ACC,1.6,0.0,0.0
4,AAC,0.72,0.05,6.944
5,Sun Belt,0.71,0.01,1.408
6,MWC,0.54,0.0,0.0
7,Ind,0.39,0.0,0.0
8,MAC,0.29,0.01,3.448
9,Pac-12,0.29,0.01,3.448
10,CUSA,0.27,0.0,0.0
Total,All,12.0,0.1,0.833
