,Conference,Avg Num Playoff Teams,Avg Num Playoffs Due to AQ,% of Teams Due to AQ
0,Big Ten,3.27,0.0,0.0
1,SEC,3.21,0.0,0.0
2,ACC,2.02,0.0,0.0
3,Big 12,1.75,0.0,0.0
4,AAC,0.65,0.06,9.23
5,MWC,0.51,0.02,3.92
6,Ind,0.3,0.0,0.0
7,Pac-12,0.17,0.01,5.88
8,Sun Belt,0.06,0.01,16.67
9,MAC,0.06,0.01,16.67
Total,All,12.0,0.11,0.92
