,Conference,Avg Num Playoff Teams,Avg Num Playoffs Due to AQ,% of Teams Due to AQ
0,Big Ten,1.01,0.0,0.0
1,SEC,0.996,0.0,0.0
2,Pac-12,0.98,0.0,0.0
3,ACC,0.732,0.0,0.0
4,Big 12,0.284,0.0,0.0
Total,All,4.0,0.0,0.0
