,Conference,Avg Num Playoff Teams,Avg Num Playoffs Due to AQ,% of Teams Due to AQ
0,SEC,3.321,0.0,0.0
1,Big Ten,3.032,0.0,0.0
2,ACC,1.869,0.004,0.187
3,Big 12,1.537,0.017,1.106
4,AAC,0.739,0.196,26.455
5,MWC,0.637,0.213,33.49
6,Ind,0.272,0.0,0.0
7,Sun Belt,0.216,0.188,86.836
8,MAC,0.186,0.148,79.357
9,Pac-12,0.154,0.038,24.919
10,CUSA,0.035,0.035,98.571
Total,All,12.0,0.839,6.988
