,Conference,Avg Num Playoff Teams,Avg Num Playoffs Due to AQ,% of Teams Due to AQ
0,Big Ten,2.824,0.0,0.0
1,SEC,2.675,0.0,0.0
2,Big 12,1.757,0.0,0.0
3,ACC,1.603,0.0,0.0
4,Sun Belt,0.699,0.0,0.0
5,AAC,0.698,0.0,0.014
6,MWC,0.556,0.0,0.0
7,Ind,0.341,0.0,0.0
8,MAC,0.321,0.0,0.031
9,CUSA,0.272,0.0,0.0
10,Pac-12,0.254,0.0,0.0
Total,All,12.0,0.0,0.002
