,Conference,Avg Num Playoff Teams,Avg Num Playoffs Due to AQ,% of Teams Due to AQ
0,Big Ten,2.814,0.0,0.0
1,SEC,2.67,0.0,0.0
2,Big 12,1.783,0.0,0.0
3,ACC,1.579,0.001,0.063
4,AAC,0.703,0.003,0.427
5,Sun Belt,0.685,0.001,0.146
6,MWC,0.568,0.005,0.969
7,Ind,0.363,0.0,0.0
8,MAC,0.325,0.001,0.308
9,CUSA,0.266,0.002,0.565
10,Pac-12,0.244,0.001,0.409
Total,All,12.0,0.014,0.117
