,Conference,Avg Num Playoff Teams,Avg Num Playoffs Due to AQ,% of Teams Due to AQ
0,Big Ten,2.88,0.0,0.0
1,SEC,2.755,0.0,0.0
2,MAC,1.0,1.0,100.0
3,CUSA,1.0,1.0,100.0
4,MWC,0.999,0.999,100.0
5,AAC,0.997,0.997,100.0
6,Sun Belt,0.953,0.943,98.951
7,ACC,0.765,0.0,0.0
8,Big 12,0.541,0.0,0.0
9,Ind,0.077,0.0,0.0
10,Pac-12,0.034,0.0,0.0
Total,All,12.0,4.939,41.154
