,Conference,Avg Num Playoff Teams,Avg Num Playoffs Due to AQ,% of Teams Due to AQ
0,SEC,3.006,0.0,0.0
1,Big Ten,2.992,0.0,0.0
2,Big 12,1.986,0.004,0.201
3,ACC,1.656,0.01,0.604
4,AAC,0.55,0.133,24.218
5,Sun Belt,0.512,0.159,31.067
6,MWC,0.377,0.155,41.176
7,Ind,0.329,0.0,0.0
8,MAC,0.22,0.139,62.886
9,CUSA,0.216,0.114,52.963
10,Pac-12,0.154,0.029,18.523
Total,All,12.0,0.743,6.193
