,Conference,Avg Num Playoff Teams,Avg Num Playoffs Due to AQ,% of Teams Due to AQ
0,SEC,3.324,0.128,3.836
1,Big Ten,3.321,0.151,4.547
2,Big 12,1.435,0.11,7.663
3,ACC,1.194,0.111,9.296
4,Sun Belt,0.584,0.453,77.549
5,CUSA,0.565,0.523,92.655
6,MAC,0.513,0.478,93.184
7,AAC,0.487,0.389,79.795
8,MWC,0.386,0.365,94.812
9,Ind,0.188,0.0,0.0
10,Pac-12,0.003,0.0,0.0
Total,All,12.0,2.708,22.571
