,Conference,Avg Num Playoff Teams,Avg Num Playoffs Due to AQ,% of Teams Due to AQ
0,Big Ten,4.449,0.0,0.0
1,SEC,3.558,0.0,0.0
2,ACC,1.891,0.0,0.0
3,Big 12,1.101,0.0,0.0
4,Sun Belt,0.67,0.67,100.0
5,AAC,0.225,0.225,100.0
6,Pac-12,0.059,0.05,83.193
7,MAC,0.026,0.026,100.0
8,CUSA,0.018,0.018,100.0
9,MWC,0.002,0.002,100.0
Total,All,12.0,0.99,8.25
