,Conference,Avg Num Playoff Teams,Avg Num Playoffs Due to AQ,% of Teams Due to AQ
0,Big Ten,3.693,0.0,0.0
1,SEC,3.294,0.0,0.0
2,ACC,1.7,0.004,0.218
3,Big 12,1.236,0.053,4.257
4,Sun Belt,0.752,0.176,23.377
5,AAC,0.476,0.234,49.233
6,Pac-12,0.208,0.026,12.386
7,MAC,0.204,0.156,76.324
8,MWC,0.178,0.127,71.565
9,CUSA,0.131,0.116,88.982
10,Ind,0.13,0.0,0.0
Total,All,12.0,0.891,7.426
