,Conference,Avg Num Playoff Teams,Avg Num Playoffs Due to AQ,% of Teams Due to AQ
0,Big Ten,3.38,0.0,0.0
1,SEC,3.04,0.0,0.0
2,ACC,1.98,0.0,0.0
3,Big 12,1.94,0.0,0.0
4,AAC,0.72,0.0,0.0
5,MWC,0.5,0.0,0.0
6,Ind,0.32,0.0,0.0
7,Pac-12,0.06,0.0,0.0
8,MAC,0.06,0.0,0.0
