,Conference,Avg Num Playoff Teams,Avg Num Playoffs Due to AQ,% of Teams Due to AQ
0,Big Ten,3.1,0.0,0.0
1,SEC,2.91,0.0,0.0
2,ACC,1.9,0.0,0.0
3,Big 12,1.72,0.01,0.58
4,AAC,0.78,0.17,21.790000000000003
5,MWC,0.67,0.22,32.84
6,Ind,0.37,0.0,0.0
7,MAC,0.22,0.18,81.82000000000001
8,Pac-12,0.15,0.04,26.669999999999998
9,Sun Belt,0.13,0.12,92.31
10,CUSA,0.05,0.05,100.0
