,Conference,Avg Num Playoff Teams,Avg Num Playoffs Due to AQ,% of Teams Due to AQ
0,SEC,1.125,0.0,0.0
1,Big Ten,0.886,0.0,0.0
2,Big 12,0.758,0.0,0.0
3,Pac-12,0.663,0.0,0.0
4,ACC,0.503,0.0,0.0
5,Ind,0.062,0.0,0.0
6,AAC,0.0,0.0,0.0
7,Sun Belt,0.0,0.0,0.0
8,MWC,0.0,0.0,0.0
Total,All,4.0,0.0,0.0
