,Conference,Avg Num Playoff Teams,Avg Num Playoffs Due to AQ,% of Teams Due to AQ
0,Big Ten,3.193,0.0,0.0
1,SEC,3.0,0.0,0.0
2,Big 12,1.844,0.008,0.423
3,ACC,1.566,0.013,0.811
4,AAC,0.566,0.122,21.48
5,Sun Belt,0.548,0.132,24.023
6,MWC,0.348,0.13,37.45
7,Pac-12,0.291,0.035,11.955
8,Ind,0.29,0.0,0.0
9,CUSA,0.201,0.1,49.627
10,MAC,0.153,0.096,62.41
Total,All,12.0,0.634,5.287
