,Conference,Avg Num Playoff Teams,Avg Num Playoffs Due to AQ,% of Teams Due to AQ
0,SEC,3.26,0.0,0.0
1,Big Ten,3.1,0.0,0.0
2,ACC,1.96,0.0,0.0
3,Big 12,1.86,0.0,0.0
4,AAC,0.66,0.0,0.0
5,Ind,0.46,0.0,0.0
6,MWC,0.34,0.0,0.0
7,Pac-12,0.22,0.0,0.0
8,MAC,0.08,0.0,0.0
9,CUSA,0.04,0.0,0.0
10,Sun Belt,0.02,0.0,0.0
