,Conference,Avg Num Playoff Teams,Avg Num Playoffs Due to AQ,% of Teams Due to AQ
0,Big Ten,3.1,0.0,0.0
1,SEC,2.96,0.0,0.0
2,ACC,1.89,0.01,0.53
3,Big 12,1.71,0.0,0.0
4,MWC,0.74,0.21,28.38
5,AAC,0.72,0.18,25.0
6,Ind,0.35,0.0,0.0
7,MAC,0.23,0.14,60.870000000000005
8,Sun Belt,0.18,0.17,94.44
9,Pac-12,0.1,0.03,30.0
10,CUSA,0.02,0.02,100.0
